Sale_ID,Date,Event_Type,Event_Name,Promotional_Type,Promotional_Budget,Sales_Revenue,ROI,City
SALE_00049,12/10/2021,Islamic Event,Muharram,Social Media Campaigns,230966,4540241.46,18.66,Lahore
SALE_00050,12/17/2021,Islamic Event,Muharram,Branding with Religious themes,620854,1635032.35,1.63,Islamabad
SALE_00051,12/24/2021,National Event,Eid Ul Fitr,Social Media Campaigns,947391,3731411.20,2.94,Faisalabad
SALE_00052,12/31/2021,National Event,Eid Ul Fitr,Promotions For Kashmir Relief,418060,991952.69,1.37,Peshawar
SALE_00053,1/7/2022,National Event,Eid Ul Fitr,Special Packaging,221048,478513.45,1.16,Sukkur
SALE_00054,1/14/2022,National Event,Eid Ul Fitr,Collaborations with NGOs,911060,3061895.18,2.36,Multan
SALE_00055,1/21/2022,International Event,Labour Day,Discount offers,768600,1781383.65,1.32,Hyderabad
SALE_00056,1/28/2022,International Event,Labour Day,Social Media Campaigns,112107,410279.14,2.66,Larkana
SALE_00057,2/4/2022,International Event,Labour Day,Sponsorship of Local Events,115280,375676.51,2.26,Nawabshah
SALE_00058,2/11/2022,National Event,National Food Day,Recipe Contests,874476,2360598.31,1.70,Bahawalpur
SALE_00059,2/18/2022,National Event,National Food Day,Discount offers,355350,1182629.26,2.33,Rahim Yar Khan
SALE_00060,2/25/2022,National Event,National Food Day,Celebrity Endorsements,634706,2158973.19,2.40,Karachi
SALE_00061,3/4/2022,Cultural Event,Wedding Season,Wedding Packages,247078,772971.86,2.13,Lahore
SALE_00062,3/11/2022,Cultural Event,Wedding Season,In-Store Displays,362769,1237626.71,2.41,Islamabad
SALE_00063,3/18/2022,Cultural Event,Wedding Season,Celebrity Endorsements,565508,1811676.44,2.20,Faisalabad
SALE_00064,3/25/2022,Cultural Event,Wedding Season,Social Media Campaigns,693259,1767827.17,1.55,Peshawar
SALE_00065,4/1/2022,International Event,National Health Day,Educational Campaigns,104367,340433.06,2.26,Sukkur
SALE_00066,4/8/2022,International Event,National Health Day,Social Media Campaigns,345456,959294.71,1.78,Multan
SALE_00067,4/15/2022,International Event,National Health Day,Discount offers,614965,1066729.54,0.73,Hyderabad
SALE_00068,4/22/2022,International Event,National Health Day,Partnership with Nutritionists,317581,1191615.07,2.75,Larkana
SALE_00069,4/29/2022,Islamic Event,Independence Day,Discount offers,356667,999457.32,1.80,Nawabshah
SALE_00070,5/6/2022,Islamic Event,Independence Day,TV and Radio Campaigns,691769,2076377.69,2.00,Bahawalpur
SALE_00071,5/13/2022,Islamic Event,Independence Day,Retail Partnerships,346601,983927.59,1.84,Rahim Yar Khan
SALE_00072,5/20/2022,Islamic Event,Eid Ul Adha,Discount offers,838204,3149442.68,2.76,Karachi
SALE_00073,5/27/2022,Islamic Event,Eid Ul Adha,Social Media Campaigns,698896,2396312.69,2.43,Lahore
SALE_00074,6/3/2022,Islamic Event,Eid Ul Adha,Charity Promotions,957454,3792594.48,2.96,Islamabad
SALE_00075,6/10/2022,Islamic Event,Eid Ul Adha,Celebrity Endorsements,331334,1135236.72,2.43,Faisalabad
SALE_00076,6/17/2022,Islamic Event,Kashmir Day,Discount offers,494687,985298.54,0.99,Peshawar
SALE_00077,6/24/2022,Islamic Event,Kashmir Day,TV and Radio Campaigns,686980,1821353.93,1.65,Sukkur
SALE_00078,7/1/2022,Islamic Event,Kashmir Day,Retail Partnerships,153875,436692.07,1.84,Multan
SALE_00079,7/8/2022,National Event,Ramadan,Advertisements,535257,1200104.74,1.24,Hyderabad
SALE_00080,7/15/2022,National Event,Ramadan,Discount offers,262250,972439.03,2.71,Larkana
SALE_00081,7/22/2022,National Event,Ramadan,Charity Promotions,676498,2364829.65,2.50,Nawabshah
SALE_00082,7/29/2022,National Event,Ramadan,Collaborations with National Events,339016,880316.71,1.60,Bahawalpur
SALE_00083,8/5/2022,National Event,Ramadan,Social Media Campaigns,189606,288089.00,0.52,Rahim Yar Khan
SALE_00084,8/12/2022,Islamic Event,Muharram,Charity Promotions,835744,2317156.48,1.77,Karachi
SALE_00085,8/19/2022,Islamic Event,Muharram,Social Media Campaigns,964793,2248889.69,1.33,Lahore
SALE_00086,8/26/2022,Islamic Event,Muharram,Branding with Religious themes,484510,44836070.65,91.54,Islamabad
SALE_00087,9/2/2022,National Event,Eid Ul Fitr,Social Media Campaigns,800287,2183580.79,1.73,Faisalabad
SALE_00088,9/9/2022,National Event,Eid Ul Fitr,Promotions For Kashmir Relief,453667,974890.58,1.15,Peshawar
SALE_00089,9/16/2022,National Event,Eid Ul Fitr,Special Packaging,968618,2395847.42,1.47,Sukkur
SALE_00090,9/23/2022,National Event,Eid Ul Fitr,Collaborations with NGOs,426909,1519186.07,2.56,Multan
SALE_00091,9/30/2022,International Event,Labour Day,Discount offers,362780,1042638.50,1.87,Hyderabad
SALE_00092,10/7/2022,International Event,Labour Day,Social Media Campaigns,718797,2120301.81,1.95,Larkana
SALE_00093,10/14/2022,International Event,Labour Day,Sponsorship of Local Events,269125,494919.85,0.84,Nawabshah
SALE_00094,10/21/2022,National Event,National Food Day,Recipe Contests,109589,420917.23,2.84,Bahawalpur
SALE_00095,10/28/2022,National Event,National Food Day,Discount offers,228839,645600.57,1.82,Rahim Yar Khan
SALE_00096,11/4/2022,National Event,National Food Day,Celebrity Endorsements,700732,2002437.41,1.86,Karachi
SALE_00097,11/11/2022,Cultural Event,Wedding Season,Wedding Packages,525222,1790804.43,2.41,Lahore
SALE_00098,11/18/2022,Cultural Event,Wedding Season,In-Store Displays,473815,1117801.23,1.36,Islamabad
SALE_00099,11/25/2022,Cultural Event,Wedding Season,Celebrity Endorsements,668688,2197884.84,2.29,Faisalabad
SALE_00100,12/2/2022,Cultural Event,Wedding Season,Social Media Campaigns,546484,1869046.32,2.42,Peshawar
SALE_00101,12/9/2022,International Event,National Health Day,Educational Campaigns,279827,508955.72,0.82,Sukkur
SALE_00102,12/16/2022,International Event,National Health Day,Social Media Campaigns,541866,1256655.06,1.32,Multan
SALE_00103,12/23/2022,International Event,National Health Day,Discount offers,693587,1719450.84,1.48,Hyderabad
SALE_00104,12/30/2022,International Event,National Health Day,Partnership with Nutritionists,168281,627960.21,2.73,Larkana
SALE_00105,1/6/2023,Islamic Event,Independence Day,Discount offers,215779,625992.71,1.90,Nawabshah
SALE_00106,1/13/2023,Islamic Event,Independence Day,TV and Radio Campaigns,561980,1977869.30,2.52,Bahawalpur
SALE_00107,1/20/2023,Islamic Event,Independence Day,Retail Partnerships,167084,652243.95,2.90,Rahim Yar Khan
SALE_00108,1/27/2023,Islamic Event,Eid Ul Adha,Discount offers,879067,1556404.04,0.77,Karachi
SALE_00109,2/3/2023,Islamic Event,Eid Ul Adha,Social Media Campaigns,198370,739393.02,2.73,Lahore
SALE_00110,2/10/2023,Islamic Event,Eid Ul Adha,Charity Promotions,786834,2051857.99,1.61,Islamabad
SALE_00111,2/17/2023,Islamic Event,Eid Ul Adha,Celebrity Endorsements,556968,2194370.31,2.94,Faisalabad
SALE_00112,2/24/2023,Islamic Event,Kashmir Day,Discount offers,187136,719279.67,2.84,Peshawar
SALE_00113,3/3/2023,Islamic Event,Kashmir Day,TV and Radio Campaigns,253295,783822.27,2.09,Sukkur
SALE_00114,3/10/2023,Islamic Event,Kashmir Day,Retail Partnerships,180423,612323.30,2.39,Multan
SALE_00115,3/17/2023,National Event,Ramadan,Advertisements,324232,987333.51,2.05,Hyderabad
SALE_00116,3/24/2023,National Event,Ramadan,Discount offers,806537,2174536.24,1.70,Larkana
SALE_00117,3/31/2023,National Event,Ramadan,Charity Promotions,572639,2044793.96,2.57,Nawabshah
SALE_00118,4/7/2023,National Event,Ramadan,Collaborations with National Events,609342,1427246.50,1.34,Bahawalpur
SALE_00119,4/14/2023,National Event,Ramadan,Social Media Campaigns,360029,961086.50,1.67,Rahim Yar Khan
SALE_00120,4/21/2023,Islamic Event,Muharram,Charity Promotions,607588,2430216.01,3.00,Karachi
SALE_00121,4/28/2023,Islamic Event,Muharram,Social Media Campaigns,787862,1591639.24,1.02,Lahore
SALE_00122,5/5/2023,Islamic Event,Muharram,Branding with Religious themes,605284,43920478.14,71.56,Islamabad
SALE_00123,5/12/2023,National Event,Eid Ul Fitr,Social Media Campaigns,605798,1097704.10,0.81,Faisalabad
SALE_00124,5/19/2023,National Event,Eid Ul Fitr,Promotions For Kashmir Relief,800286,2757025.21,2.45,Peshawar
SALE_00125,5/26/2023,National Event,Eid Ul Fitr,Special Packaging,318914,973169.30,2.05,Sukkur
SALE_00126,6/2/2023,National Event,Eid Ul Fitr,Collaborations with NGOs,936574,1833506.82,0.96,Multan
SALE_00127,6/9/2023,International Event,Labour Day,Discount offers,236038,851205.81,2.61,Hyderabad
SALE_00128,6/16/2023,International Event,Labour Day,Social Media Campaigns,112192,343718.61,2.06,Larkana
SALE_00129,6/23/2023,International Event,Labour Day,Sponsorship of Local Events,240786,757946.12,2.15,Nawabshah
SALE_00130,6/30/2023,National Event,National Food Day,Recipe Contests,956428,2249694.70,1.35,Bahawalpur
SALE_00131,7/7/2023,National Event,National Food Day,Discount offers,104720,349712.63,2.34,Rahim Yar Khan
SALE_00132,7/14/2023,National Event,National Food Day,Celebrity Endorsements,785560,2457849.06,2.13,Karachi
SALE_00133,7/21/2023,Cultural Event,Wedding Season,Wedding Packages,274001,742123.08,1.71,Lahore
SALE_00134,7/28/2023,Cultural Event,Wedding Season,In-Store Displays,334045,1222826.04,2.66,Islamabad
SALE_00135,8/4/2023,Cultural Event,Wedding Season,Celebrity Endorsements,614543,1207361.39,0.96,Faisalabad
SALE_00136,8/11/2023,Cultural Event,Wedding Season,Social Media Campaigns,259498,753319.21,1.90,Peshawar
SALE_00137,8/18/2023,International Event,National Health Day,Educational Campaigns,249197,563853.40,1.26,Sukkur
SALE_00138,8/25/2023,International Event,National Health Day,Social Media Campaigns,133508,470412.30,2.52,Multan
SALE_00139,9/1/2023,International Event,National Health Day,Discount offers,962262,3196026.05,2.32,Hyderabad
SALE_00140,9/8/2023,International Event,National Health Day,Partnership with Nutritionists,649827,1117415.48,0.72,Larkana
SALE_00141,9/15/2023,Islamic Event,Independence Day,Discount offers,583286,1162947.79,0.99,Nawabshah
SALE_00142,9/22/2023,Islamic Event,Independence Day,TV and Radio Campaigns,739699,1508262.15,1.04,Bahawalpur
SALE_00143,9/29/2023,Islamic Event,Independence Day,Retail Partnerships,119896,355429.28,1.96,Rahim Yar Khan
SALE_00144,10/6/2023,Islamic Event,Eid Ul Adha,Discount offers,575058,1094521.99,0.90,Karachi
SALE_00145,10/13/2023,Islamic Event,Eid Ul Adha,Social Media Campaigns,417117,677915.23,0.63,Lahore
SALE_00146,10/20/2023,Islamic Event,Eid Ul Adha,Charity Promotions,931537,1672665.15,0.80,Islamabad
SALE_00147,10/27/2023,Islamic Event,Eid Ul Adha,Celebrity Endorsements,860143,3004514.05,2.49,Faisalabad
SALE_00148,11/3/2023,Islamic Event,Kashmir Day,Discount offers,559761,1055993.93,0.89,Peshawar
SALE_00149,11/10/2023,Islamic Event,Kashmir Day,TV and Radio Campaigns,587507,1091710.81,0.86,Sukkur
SALE_00150,11/17/2023,Islamic Event,Kashmir Day,Retail Partnerships,894790,2911390.91,2.25,Multan
SALE_00151,11/24/2023,National Event,Ramadan,Advertisements,418709,1060041.59,1.53,Hyderabad
SALE_00152,12/1/2023,National Event,Ramadan,Discount offers,590575,2236759.48,2.79,Larkana
SALE_00153,12/8/2023,National Event,Ramadan,Charity Promotions,545815,1976374.29,2.62,Nawabshah
SALE_00154,12/15/2023,National Event,Ramadan,Collaborations with National Events,265667,512796.08,0.93,Bahawalpur
SALE_00155,12/22/2023,National Event,Ramadan,Social Media Campaigns,375844,1160746.22,2.09,Rahim Yar Khan
SALE_00156,12/29/2023,Islamic Event,Muharram,Charity Promotions,273922,814543.92,1.97,Karachi
SALE_00157,1/5/2024,Islamic Event,Muharram,Social Media Campaigns,850950,1686620.01,0.98,Lahore
SALE_00158,1/12/2024,Islamic Event,Muharram,Branding with Religious themes,651350,2044059.46,2.14,Islamabad
SALE_00159,1/19/2024,National Event,Eid Ul Fitr,Social Media Campaigns,656330,1694224.47,1.58,Faisalabad
SALE_00160,1/26/2024,National Event,Eid Ul Fitr,Promotions For Kashmir Relief,958374,1796795.60,0.87,Peshawar
SALE_00161,2/2/2024,National Event,Eid Ul Fitr,Special Packaging,871426,1654439.01,0.90,Sukkur
SALE_00162,2/9/2024,National Event,Eid Ul Fitr,Collaborations with NGOs,324634,961521.38,1.96,Multan
SALE_00163,2/16/2024,International Event,Labour Day,Discount offers,609923,1696678.25,1.78,Hyderabad
SALE_00164,2/23/2024,International Event,Labour Day,Social Media Campaigns,292989,552533.63,0.89,Larkana
SALE_00165,3/1/2024,International Event,Labour Day,Sponsorship of Local Events,535007,1619656.75,2.03,Nawabshah
SALE_00166,3/8/2024,National Event,National Food Day,Recipe Contests,906631,3438282.82,2.79,Bahawalpur
SALE_00167,3/15/2024,National Event,National Food Day,Discount offers,380389,855727.61,1.25,Rahim Yar Khan
SALE_00168,3/22/2024,National Event,National Food Day,Celebrity Endorsements,325158,684320.01,1.10,Karachi
SALE_00169,3/29/2024,Cultural Event,Wedding Season,Wedding Packages,468377,1054957.71,1.25,Lahore
SALE_00170,4/5/2024,Cultural Event,Wedding Season,In-Store Displays,990436,1584390.02,0.60,Islamabad
SALE_00171,4/12/2024,Cultural Event,Wedding Season,Celebrity Endorsements,927980,1457076.57,0.57,Faisalabad
SALE_00172,4/19/2024,Cultural Event,Wedding Season,Social Media Campaigns,819320,1935479.40,1.36,Peshawar
SALE_00173,4/26/2024,International Event,National Health Day,Educational Campaigns,492392,1581851.01,2.21,Sukkur
SALE_00174,5/3/2024,International Event,National Health Day,Social Media Campaigns,599328,2331296.84,2.89,Multan
SALE_00175,5/10/2024,International Event,National Health Day,Discount offers,558253,1255458.02,1.25,Hyderabad
SALE_00176,5/17/2024,International Event,National Health Day,Partnership with Nutritionists,861641,1567403.01,0.82,Larkana
SALE_00177,5/24/2024,Islamic Event,Independence Day,Discount offers,829164,2182004.71,1.63,Nawabshah
SALE_00178,5/31/2024,Islamic Event,Independence Day,TV and Radio Campaigns,185184,363546.94,0.96,Bahawalpur
SALE_00179,6/7/2024,Islamic Event,Independence Day,Retail Partnerships,534723,1451846.68,1.72,Rahim Yar Khan
SALE_00180,6/14/2024,Islamic Event,Eid Ul Adha,Discount offers,230511,618346.13,1.68,Karachi
SALE_00181,6/21/2024,Islamic Event,Eid Ul Adha,Social Media Campaigns,902129,3412848.05,2.78,Lahore
SALE_00182,6/28/2024,Islamic Event,Eid Ul Adha,Charity Promotions,496330,1439786.22,1.90,Islamabad
SALE_00183,7/5/2024,Islamic Event,Eid Ul Adha,Celebrity Endorsements,896957,2569456.95,1.86,Faisalabad
SALE_00184,7/12/2024,Islamic Event,Kashmir Day,Discount offers,882280,1940897.37,1.20,Peshawar
SALE_00185,7/19/2024,Islamic Event,Kashmir Day,TV and Radio Campaigns,158122,435036.26,1.75,Sukkur
SALE_00186,7/26/2024,Islamic Event,Kashmir Day,Retail Partnerships,713194,1105352.10,0.55,Multan
SALE_00187,8/2/2024,National Event,Ramadan,Advertisements,863715,2833026.72,2.28,Hyderabad
SALE_00188,8/9/2024,National Event,Ramadan,Discount offers,752580,1312321.91,0.74,Larkana
SALE_00189,8/16/2024,National Event,Ramadan,Charity Promotions,325734,1129204.42,2.47,Nawabshah
SALE_00190,8/23/2024,National Event,Ramadan,Collaborations with National Events,748275,1717169.99,1.29,Bahawalpur
SALE_00191,8/30/2024,National Event,Ramadan,Social Media Campaigns,393810,687687.34,0.75,Rahim Yar Khan
SALE_00192,9/6/2024,Islamic Event,Muharram,Charity Promotions,380175,939661.28,1.47,Karachi
SALE_00193,9/13/2024,Islamic Event,Muharram,Social Media Campaigns,853451,2258753.72,1.65,Lahore
SALE_00194,9/20/2024,Islamic Event,Muharram,Branding with Religious themes,199020,325208.87,0.63,Islamabad
SALE_00195,9/27/2024,National Event,Eid Ul Fitr,Social Media Campaigns,619948,2008989.50,2.24,Faisalabad
SALE_00196,10/4/2024,National Event,Eid Ul Fitr,Promotions For Kashmir Relief,950277,1669956.67,0.76,Peshawar
SALE_00197,10/11/2024,National Event,Eid Ul Fitr,Special Packaging,857184,1694662.62,0.98,Sukkur
SALE_00198,10/18/2024,National Event,Eid Ul Fitr,Collaborations with NGOs,957176,3801390.23,2.97,Multan
SALE_00199,10/25/2024,International Event,Labour Day,Discount offers,463380,916899.86,0.98,Hyderabad
SALE_00200,11/1/2024,International Event,Labour Day,Social Media Campaigns,690548,1295829.22,0.88,Larkana
SALE_00201,11/8/2024,International Event,Labour Day,Sponsorship of Local Events,926756,2364814.36,1.55,Nawabshah
SALE_00202,11/15/2024,National Event,National Food Day,Recipe Contests,190406,354432.21,0.86,Bahawalpur
SALE_00203,11/22/2024,National Event,National Food Day,Discount offers,976167,2600500.94,1.66,Rahim Yar Khan
SALE_00204,11/29/2024,National Event,National Food Day,Celebrity Endorsements,298998,597504.40,1.00,Karachi
SALE_00205,12/6/2024,Cultural Event,Wedding Season,Wedding Packages,178753,402501.02,1.25,Lahore
SALE_00206,12/13/2024,Cultural Event,Wedding Season,In-Store Displays,890829,1616555.91,0.81,Islamabad
SALE_00207,12/20/2024,Cultural Event,Wedding Season,Celebrity Endorsements,440250,1448116.30,2.29,Faisalabad
SALE_00208,1/1/2021,Cultural Event,Wedding Season,Social Media Campaigns,477450,1114453.36,1.33,Peshawar
SALE_00209,1/8/2021,International Event,National Health Day,Educational Campaigns,323452,726935.62,1.25,Sukkur
SALE_00210,1/15/2021,International Event,National Health Day,Social Media Campaigns,233423,692382.66,1.97,Multan
SALE_00211,1/22/2021,International Event,National Health Day,Discount offers,744585,1870120.40,1.51,Hyderabad
SALE_00212,1/29/2021,International Event,National Health Day,Partnership with Nutritionists,930664,2427566.95,1.61,Larkana
SALE_00213,2/5/2021,Islamic Event,Independence Day,Discount offers,857863,3361314.50,2.92,Nawabshah
SALE_00214,2/12/2021,Islamic Event,Independence Day,TV and Radio Campaigns,333479,1059287.76,2.18,Bahawalpur
SALE_00215,2/19/2021,Islamic Event,Independence Day,Retail Partnerships,336134,1026804.86,2.05,Rahim Yar Khan
SALE_00216,2/26/2021,Islamic Event,Eid Ul Adha,Discount offers,539845,1728782.80,2.20,Karachi
SALE_00217,3/5/2021,Islamic Event,Eid Ul Adha,Social Media Campaigns,546946,1054479.24,0.93,Lahore
SALE_00218,3/12/2021,Islamic Event,Eid Ul Adha,Charity Promotions,995979,3603533.86,2.62,Islamabad
SALE_00219,3/19/2021,Islamic Event,Eid Ul Adha,Celebrity Endorsements,885632,1815014.87,1.05,Faisalabad
SALE_00220,3/26/2021,Islamic Event,Kashmir Day,Discount offers,771031,2799709.76,2.63,Peshawar
SALE_00221,4/2/2021,Islamic Event,Kashmir Day,TV and Radio Campaigns,360855,1049791.70,1.91,Sukkur
SALE_00222,4/9/2021,Islamic Event,Kashmir Day,Retail Partnerships,192825,652612.15,2.38,Multan
SALE_00223,4/16/2021,National Event,Ramadan,Advertisements,991049,2770446.01,1.80,Hyderabad
SALE_00224,4/23/2021,National Event,Ramadan,Discount offers,366291,1241650.26,2.39,Larkana
SALE_00225,4/30/2021,National Event,Ramadan,Charity Promotions,228278,741621.78,2.25,Nawabshah
SALE_00226,5/7/2021,National Event,Ramadan,Collaborations with National Events,925780,2776104.99,2.00,Bahawalpur
SALE_00227,5/14/2021,National Event,Ramadan,Social Media Campaigns,368204,1175309.49,2.19,Rahim Yar Khan
SALE_00228,5/21/2021,Islamic Event,Muharram,Charity Promotions,705859,2026050.63,1.87,Karachi
SALE_00229,5/28/2021,Islamic Event,Muharram,Social Media Campaigns,621719,2449793.26,2.94,Lahore
SALE_00230,6/4/2021,Islamic Event,Muharram,Branding with Religious themes,546359,1702661.47,2.12,Islamabad
SALE_00231,6/11/2021,National Event,Eid Ul Fitr,Social Media Campaigns,722135,2367226.54,2.28,Faisalabad
SALE_00232,6/18/2021,National Event,Eid Ul Fitr,Promotions For Kashmir Relief,131597,503681.22,2.83,Peshawar
SALE_00233,6/25/2021,National Event,Eid Ul Fitr,Special Packaging,827667,3060516.77,2.70,Sukkur
SALE_00234,7/2/2021,National Event,Eid Ul Fitr,Collaborations with NGOs,591688,1450351.22,1.45,Multan
SALE_00235,7/9/2021,International Event,Labour Day,Discount offers,329617,1057559.07,2.21,Hyderabad
SALE_00236,7/16/2021,International Event,Labour Day,Social Media Campaigns,767237,1440165.68,0.88,Larkana
SALE_00237,7/23/2021,International Event,Labour Day,Sponsorship of Local Events,461385,1263625.73,1.74,Nawabshah
SALE_00238,7/30/2021,National Event,National Food Day,Recipe Contests,678951,2150334.80,2.17,Bahawalpur
SALE_00239,8/6/2021,National Event,National Food Day,Discount offers,990998,3356613.44,2.39,Rahim Yar Khan
SALE_00240,8/13/2021,National Event,National Food Day,Celebrity Endorsements,367372,1071115.84,1.92,Karachi
SALE_00241,8/20/2021,Cultural Event,Wedding Season,Wedding Packages,511253,1542825.11,2.02,Lahore
SALE_00242,8/27/2021,Cultural Event,Wedding Season,In-Store Displays,664939,2215854.01,2.33,Islamabad
SALE_00243,9/3/2021,Cultural Event,Wedding Season,Celebrity Endorsements,604875,2278045.72,2.77,Faisalabad
SALE_00244,9/10/2021,Cultural Event,Wedding Season,Social Media Campaigns,556752,2025151.07,2.64,Peshawar
SALE_00245,9/17/2021,International Event,National Health Day,Educational Campaigns,640599,1024781.19,0.60,Sukkur
SALE_00246,9/24/2021,International Event,National Health Day,Social Media Campaigns,100364,358897.45,2.58,Multan
SALE_00247,10/1/2021,International Event,National Health Day,Discount offers,352589,825822.42,1.34,Hyderabad
SALE_00248,10/8/2021,International Event,National Health Day,Partnership with Nutritionists,104279,284003.51,1.72,Larkana
SALE_00249,10/15/2021,Islamic Event,Independence Day,Discount offers,920892,2862387.51,2.11,Nawabshah
SALE_00250,10/22/2021,Islamic Event,Independence Day,TV and Radio Campaigns,349537,1014906.36,1.90,Bahawalpur
SALE_00251,10/29/2021,Islamic Event,Independence Day,Retail Partnerships,256272,459404.54,0.79,Rahim Yar Khan
SALE_00252,11/5/2021,Islamic Event,Eid Ul Adha,Discount offers,999540,3670238.72,2.67,Karachi
SALE_00253,11/12/2021,Islamic Event,Eid Ul Adha,Social Media Campaigns,723735,1954370.25,1.70,Lahore
